feature,kind,psi,reference_missing_rate,current_missing_rate,missing_rate_change
int_rate,numeric,0.08783687031727774,0.0,0.0,0.0
revol_util,numeric,0.03788378476272859,0.0003847112884266021,0.000806390990289139,0.00042167970186253695
loan_to_income,numeric,0.03194667539447821,4.749522079340767e-06,0.00062643367889693,0.0006216841568175892
purpose,categorical,0.030041868082550154,0.0,0.0,0.0
installment_to_monthly_income,numeric,0.029809496336260045,4.749522079340767e-06,0.00062643367889693,0.0006216841568175892
sub_grade,numeric,0.024945787946473452,0.0,0.0,0.0
installment,numeric,0.024188158752503474,0.0,0.0,0.0
loan_amnt,numeric,0.022824811627254783,0.0,0.0,0.0
revol_bal_to_income,numeric,0.022775034657149373,4.749522079340767e-06,0.00062643367889693,0.0006216841568175892
total_acc,numeric,0.020695765595304037,0.0,0.0,0.0
grade,numeric,0.020031014238559,0.0,0.0,0.0
term_months,numeric,0.017826303019969486,0.0,0.0,0.0
fico_range_low,numeric,0.017709878049907705,0.0,0.0,0.0
verification_status,categorical,0.015137954033081038,0.0,0.0,0.0
mort_acc,numeric,0.012134860849044256,0.0,0.0,0.0
revol_bal,numeric,0.010737706629348706,0.0,0.0,0.0
emp_length,numeric,0.007190493847544234,0.056559683681829516,0.06843503199367644,0.011875348311846924
dti,numeric,0.0068671816030627456,4.749522079340767e-06,0.0006571858776791429,0.0006524363555998022
home_ownership,categorical,0.004058168936263928,0.0,0.0,0.0
open_acc,numeric,0.004050211765548291,0.0,0.0,0.0
log_annual_inc,numeric,0.003693134625097617,0.0,0.0,0.0
annual_inc,numeric,0.003693134625097617,0.0,0.0,0.0
credit_history_years,numeric,0.00298812278045546,0.0,0.0,0.0
inq_last_6mths,numeric,0.0018104480687237958,0.0,1.1389703252671456e-06,1.1389703252671456e-06
pub_rec,numeric,0.0001379071793869498,0.0,0.0,0.0
delinq_2yrs,numeric,7.018381131278098e-05,0.0,0.0,0.0
