group,n,approval_rate,mean_predicted_default,observed_default_rate,good_applicants,good_approval_rate,defaulted_applicants,bad_approval_rate,adverse_impact_ratio,below_four_fifths
NE,538,0.9368029739776952,0.2201050072093475,0.241635687732342,408,0.9632352941176471,130.0,0.8538461538461538,0.9609785345964744,False
HI,937,0.9477054429028815,0.2230263957472343,0.18996798292422626,759,0.9683794466403162,178.0,0.8595505617977528,0.9721623575584397,False
NY,16317,0.9582031010602439,0.20831023005864138,0.22216093644665072,12692,0.9776236999684841,3625.0,0.8902068965517241,0.9829309230230888,False
RI,852,0.960093896713615,0.19932531619177152,0.16314553990610328,713,0.9775596072931276,139.0,0.8705035971223022,0.9848705134029986,False
PA,6747,0.9604268563806136,0.20550394271415032,0.20497999110715873,5364,0.9763236390753169,1383.0,0.8987707881417208,0.9852120655775327,False
MN,3644,0.960482985729967,0.19850875372977608,0.19484083424807905,2934,0.9761417859577369,710.0,0.895774647887324,0.9852696434262243,False
TN,3027,0.9610175090849026,0.20920213225507667,0.20350181698050876,2411,0.9771878888428038,616.0,0.8977272727272727,0.9858179609322549,False
MS,980,0.9612244897959183,0.2134841162084825,0.2602040816326531,725,0.983448275862069,255.0,0.8980392156862745,0.9860302830809743,False
NM,1091,0.9615032080659945,0.19736583383910708,0.22548120989917506,845,0.9775147928994082,246.0,0.9065040650406504,0.9863161940806009,False
MI,5191,0.9616644191870545,0.20564686745660823,0.19919090733962627,4157,0.9788308876593698,1034.0,0.8926499032882012,0.9864815654886558,False
CA,29554,0.9616972321851526,0.19861711358668502,0.19848413074372334,23688,0.9797787909490037,5866.0,0.8886805318786226,0.9865152252738016,False
OH,6612,0.9617362371445856,0.20393048965822377,0.20825771324863884,5235,0.9808978032473734,1377.0,0.8888888888888888,0.986555236812833,False
FL,14286,0.9617807643847123,0.2066307967362668,0.21993560128797424,11144,0.9793610911701364,3142.0,0.8994271164863145,0.9866009131430274,False
IN,3286,0.9619598295800366,0.21018146273706909,0.2060255629945222,2609,0.9750862399386738,677.0,0.9113737075332349,0.9867845993756504,False
NC,5627,0.9623245068420118,0.20423959463406702,0.2025946330193709,4487,0.9810563851125473,1140.0,0.8885964912280702,0.987158687663741,False
NV,3114,0.9624277456647399,0.20863913468380188,0.21772639691714837,2436,0.9778325123152709,678.0,0.9070796460176991,0.9872645907141525,False
AR,1474,0.9626865671641791,0.20707214538714486,0.24219810040705564,1117,0.9838854073410922,357.0,0.896358543417367,0.9875300914780935,False
GA,6546,0.9627253284448518,0.19968302708194782,0.17934616559731134,5372,0.97933730454207,1174.0,0.8867120954003407,0.9875698530498802,False
CO,4488,0.9627896613190731,0.19618366294269873,0.1537433155080214,3798,0.9791995787256451,690.0,0.8724637681159421,0.9876358461273071,False
MO,3164,0.9630214917825537,0.19487080294881604,0.20891276864728192,2503,0.9820215741110667,661.0,0.8910741301059002,0.987873659312426,False
VA,5717,0.9641420325345461,0.19579719325082898,0.19590694420150429,4597,0.9784642157929084,1120.0,0.9053571428571429,0.989023117245115,False
MD,4644,0.9649009474590869,0.1967088778729486,0.21124031007751937,3663,0.9828009828009828,981.0,0.8980632008154944,0.9898016170709344,False
AL,2586,0.9651972157772621,0.20990524904022026,0.2482598607888631,1944,0.9825102880658436,642.0,0.9127725856697819,0.9901055310231269,False
NJ,7404,0.9652890329551593,0.19615160942385565,0.21204754186925986,5834,0.9826876928351046,1570.0,0.9006369426751593,0.9901997176765828,False
WV,692,0.9653179190751445,0.20082400489168922,0.14017341040462428,595,0.9815126050420168,97.0,0.865979381443299,0.9902293492448256,False
DE,541,0.966728280961183,0.20300056011798512,0.21256931608133087,426,0.9835680751173709,115.0,0.9043478260869565,0.9916761075666329,False
OR,2451,0.966952264381885,0.19917349991301456,0.14035087719298245,2107,0.9814902705268154,344.0,0.877906976744186,0.9919058712046432,False
MT,547,0.9670932358318098,0.19808676023489064,0.1846435100548446,446,0.9775784753363229,101.0,0.9207920792079208,0.9920504806274695,False
SC,2438,0.9680065627563577,0.20022839430058004,0.16283839212469237,2041,0.9804017638412543,397.0,0.9042821158690176,0.9929873772791024,False
KY,1971,0.9680365296803652,0.20504904373943567,0.2176560121765601,1542,0.9818417639429312,429.0,0.9184149184149184,0.9930181175430843,False
CT,3045,0.9681444991789819,0.1931982316794113,0.16814449917898194,2533,0.9806553493880774,512.0,0.90625,0.9931288733513427,False
IL,7796,0.9683170856849667,0.19428800602963453,0.1775269368907132,6412,0.9826887086712415,1384.0,0.9017341040462428,0.9933059137026432,False
MA,4578,0.9683267802533858,0.18867560731160823,0.19047619047619047,3706,0.9813815434430653,872.0,0.9128440366972477,0.9933158584534731,False
OK,1808,0.9690265486725663,0.20042256066178188,0.2345132743362832,1384,0.9877167630057804,424.0,0.9080188679245284,0.9940336854125035,False
TX,16672,0.9690499040307101,0.19591360455336732,0.20063579654510558,13327,0.9828168379980491,3345.0,0.9142002989536622,0.9940576434895672,False
LA,2361,0.9690808979246082,0.19678333349315746,0.2316814908936891,1814,0.9878721058434399,547.0,0.906764168190128,0.9940894372258884,False
WA,4336,0.9690959409594095,0.19636430568216023,0.15498154981549817,3664,0.9817139737991266,672.0,0.9002976190476191,0.9941048684680395,False
KS,1689,0.9692125518058022,0.19243924768331674,0.16104203670811132,1417,0.9851799576570219,272.0,0.8860294117647058,0.9942244886265972,False
AZ,4864,0.9695723684210527,0.19491552135478027,0.19777960526315788,3902,0.982060481804203,962.0,0.918918918918919,0.9945935908319186,False
WI,2605,0.9696737044145873,0.19301342996275908,0.19078694817658348,2108,0.9833965844402277,497.0,0.9114688128772636,0.994697541947867,False
UT,1506,0.9701195219123506,0.19824421374275644,0.1699867197875166,1250,0.9792,256.0,0.92578125,0.9951548644133145,False
DC,564,0.973404255319149,0.17547497610924215,0.13297872340425532,489,0.9815950920245399,75.0,0.92,0.9985243651338367,False
