group,n,approval_rate,mean_predicted_default,observed_default_rate,good_applicants,good_approval_rate,defaulted_applicants,bad_approval_rate,adverse_impact_ratio,below_four_fifths
104xx,1434,0.9386331938633193,0.2449181139144011,0.2880055788005579,1021.0,0.9696376101860921,413.0,0.8619854721549637,0.9564876296161543,False
191xx,685,0.9430656934306569,0.21359260244981093,0.21751824817518248,536.0,0.9682835820895522,149.0,0.8523489932885906,0.9610044430339575,False
208xx,525,0.9466666666666667,0.19884514736100237,0.19238095238095237,424.0,0.9740566037735849,101.0,0.8316831683168316,0.9646739130434783,False
800xx,865,0.9491329479768786,0.2025315254042677,0.15838150289017341,728.0,0.9752747252747253,137.0,0.8102189781021898,0.9671871073133954,False
967xx,658,0.9498480243161094,0.22529723601161267,0.196048632218845,529.0,0.9716446124763705,129.0,0.8604651162790697,0.9679157856482093,False
926xx,1194,0.9505862646566164,0.19790283178824108,0.20435510887772193,950.0,0.9768421052631578,244.0,0.8483606557377049,0.9686680686038891,False
331xx,1671,0.9509275882704967,0.21309650625852258,0.23518850987432674,1278.0,0.9694835680751174,393.0,0.8905852417302799,0.9690158847865117,False
335xx,633,0.9510268562401264,0.20885332532553263,0.20695102685624012,502.0,0.9780876494023905,131.0,0.8473282442748091,0.9691170410055636,False
347xx,552,0.9510869565217391,0.2095401037710549,0.21195652173913043,435.0,0.9701149425287356,117.0,0.8803418803418803,0.9691782844990549,False
907xx,541,0.9519408502772643,0.20554870249993987,0.2088724584103512,428.0,0.9813084112149533,113.0,0.8407079646017699,0.9700484207988427,False
551xx,542,0.9520295202952029,0.19916322028628833,0.2011070110701107,433.0,0.976905311778291,109.0,0.8532110091743119,0.9701387774747313,False
922xx,569,0.9525483304042179,0.21128001634324622,0.20738137082601055,451.0,0.975609756097561,118.0,0.864406779661017,0.9706674562542982,False
114xx,781,0.9526248399487837,0.22877229311124023,0.23047375160051217,601.0,0.9700499168053245,180.0,0.8944444444444445,0.9707454211434616,False
