bin,n,mean_predicted,observed_rate
0,18258,0.03210588808496815,0.03319093000328623
1,32928,0.0756183227604215,0.07580174927113703
2,32480,0.12429303298192317,0.12429187192118227
3,32655,0.17316254014679142,0.1720716582452917
4,23980,0.22436071570624477,0.22110091743119267
5,21563,0.27360825443362274,0.272689328943097
6,13264,0.32811934490451816,0.32667370325693607
7,7843,0.3689536500774451,0.37141399974499556
8,6777,0.41188827717787063,0.41596576656337614
9,4777,0.4715980539475321,0.45886539669248483
10,4277,0.5179001829140477,0.5260696750058452
11,200,0.5530344405313719,0.585
12,2200,0.6162014939620387,0.600909090909091
13,416,0.6742914979757086,0.65625
14,115,0.7218366218616457,0.7304347826086957
15,52,0.7966101694915252,0.6153846153846154
17,18,0.875,0.8333333333333334
